candle_begin_time,open,high,low,close,volume
2018-09-25 20:45:00,5.417000000000001,5.4274,5.4112,5.4119,13325.82950927
2018-09-25 20:50:00,5.4168,5.4168,5.3886,5.3982,47817.86051338
2018-09-25 20:55:00,5.3986,5.4175,5.3916,5.4051,14661.69672126
2018-09-25 21:00:00,5.4051,5.4051,5.386,5.403,14288.342128949998
2018-09-25 21:05:00,5.4032,5.4141,5.3856,5.4110000000000005,20778.550323400003
2018-09-25 21:10:00,5.412999999999999,5.4268,5.41,5.419,25968.96725834
2018-09-25 21:15:00,5.4182,5.4192,5.4005,5.4005,3002.08460594
2018-09-25 21:20:00,5.4005,5.4034,5.4005,5.4024,4436.14015299
2018-09-25 21:25:00,5.4024,5.4024,5.3870000000000005,5.3888,9293.10585647
2018-09-25 21:30:00,5.3876,5.3883,5.3512,5.3515,53619.54714353001
2018-09-25 21:35:00,5.3554,5.38199962,5.3515,5.3769,24480.66618108
2018-09-25 21:40:00,5.3701,5.3773,5.3625,5.3647,10170.23510089
2018-09-25 21:45:00,5.3698,5.3904,5.3664,5.388999999999999,21321.60034692
2018-09-25 21:50:00,5.3887,5.4343,5.388,5.4049,51974.01697725
2018-09-25 21:55:00,5.4073,5.4219,5.3934,5.3975,18884.9510144
2018-09-25 22:00:00,5.3975,5.4139,5.34,5.3427,87277.53795104001
2018-09-25 22:05:00,5.3421,5.3614,5.3421,5.3543,3434.26091706
2018-09-25 22:10:00,5.3539,5.3539,5.32,5.3358,31551.18946761
2018-09-25 22:15:00,5.3332,5.3451,5.3306,5.3417,4467.37879886
2018-09-25 22:20:00,5.3365,5.354,5.3336,5.3531,3084.29094779
2018-09-25 22:25:00,5.3437,5.3747,5.3424,5.3624,3724.95665404
2018-09-25 22:30:00,5.367000000000001,5.3788,5.3463,5.3613,11501.73207572
2018-09-25 22:35:00,5.3613,5.3789,5.3427,5.3626,6004.14002409
2018-09-25 22:40:00,5.3752,5.3991,5.3752,5.3947,9542.27314146
2018-09-25 22:45:00,5.3938,5.3938,5.3733,5.39,6417.059655790002
2018-09-25 22:50:00,5.3899,5.3979,5.3707,5.3712,2599.45349205
2018-09-25 22:55:00,5.3712,5.3806,5.3666,5.3782,14571.85691612
2018-09-25 23:00:00,5.3763,5.381,5.3593,5.3688,71390.25245651
2018-09-25 23:05:00,5.3672,5.3676,5.3225,5.337999999999999,26391.6588802
2018-09-25 23:10:00,5.3405,5.3467,5.3132,5.332999999999999,40829.69752485
2018-09-25 23:15:00,5.3242,5.3477,5.3197,5.3433,12907.51445426
2018-09-25 23:20:00,5.3383,5.36218396,5.3319,5.3379,17769.698592859993
2018-09-25 23:25:00,5.337999999999999,5.3677,5.3362,5.3617,14314.21019668
2018-09-25 23:30:00,5.3624,5.41521896,5.3594,5.414,43632.24116535
2018-09-25 23:35:00,5.4141,5.4439,5.4,5.412999999999999,64825.65191950001
2018-09-25 23:40:00,5.416,5.4232,5.3957,5.3963,40082.75218683
2018-09-25 23:45:00,5.3961,5.4116,5.3944,5.3944,14961.75709681
2018-09-25 23:50:00,5.3944,5.4009,5.3821,5.3896,9293.49218856
2018-09-25 23:55:00,5.39425776,5.4203,5.3884,5.4202,36155.57152172
2018-09-26 00:00:00,5.4202,5.4262,5.3729,5.3729,34288.74015962
2018-09-26 00:05:00,5.3747,5.3928,5.3696,5.3704,25544.756449300006
2018-09-26 00:10:00,5.3704,5.3705,5.3525,5.3578,17335.929680629994
2018-09-26 00:15:00,5.3576,5.3819,5.3561,5.3814,35873.061160219986
2018-09-26 00:20:00,5.3761,5.3866,5.3567,5.3567,16736.88381134
2018-09-26 00:25:00,5.3567,5.3669,5.3508,5.3559,21095.24956496
2018-09-26 00:30:00,5.3613,5.3701,5.3447,5.3525,45877.35025982001
2018-09-26 00:35:00,5.3524,5.3627,5.345,5.3533,29453.34749629
2018-09-26 00:40:00,5.3527,5.355,5.3407,5.3407,9508.68008869
2018-09-26 00:45:00,5.3428,5.3494,5.3428,5.3494,3426.84997146
2018-09-26 00:50:00,5.3489,5.3489,5.3384,5.343,12227.040530269998
2018-09-26 00:55:00,5.3392,5.35250055,5.3391,5.3472,17302.90766792
2018-09-26 01:00:00,5.3458,5.3458,5.3327,5.3434,5369.36442672
2018-09-26 01:05:00,5.3422,5.3533,5.3404,5.3533,10030.96038793
2018-09-26 01:10:00,5.3568,5.3586,5.3341,5.3387,7577.890409199999
2018-09-26 01:15:00,5.3331,5.3481,5.3331,5.34,1114.3973872000001
2018-09-26 01:20:00,5.3401,5.3401,5.3181,5.324,10973.81685882
2018-09-26 01:25:00,5.3246,5.3301,5.2865,5.2989999999999995,66764.6636829
2018-09-26 01:30:00,5.3,5.3020000000000005,5.27,5.27,46521.98370355
2018-09-26 01:35:00,5.2701,5.2943,5.27,5.2899,29270.17963854
2018-09-26 01:40:00,5.29,5.2966,5.27,5.2768,48051.38451216
2018-09-26 01:45:00,5.2768,5.2845,5.2743,5.28,40335.45556106
2018-09-26 01:50:00,5.2821,5.2886,5.27,5.27,38001.47414003
2018-09-26 01:55:00,5.27,5.3065,5.27,5.2942,50243.35225547999
2018-09-26 02:00:00,5.2951,5.2976,5.2888212999999995,5.2956,15865.965811269998
